,Unnamed: 0,Longitude,Latitude,Hour,Day,DoW,Month,isDay,Accident,District Name_Ciutat Vella,District Name_Eixample,District Name_Gràcia,District Name_Horta-Guinardó,District Name_Les Corts,District Name_Nou Barris,District Name_Sant Andreu,District Name_Sant Martí,District Name_Sants-Montjuïc,District Name_Sarrià-Sant Gervasi
97,97,2.1375610000000003,41.413813,2,5,3,1,0,1,0,0,0,0,0,0,0,0,0,1
98,98,2.205163,41.444756,4,5,3,1,0,1,0,0,0,0,0,0,1,0,0,0
99,99,2.174778,41.417544,5,5,3,1,0,1,0,0,0,1,0,0,0,0,0,0
100,100,2.199257,41.421357,6,5,3,1,1,1,0,0,0,0,0,0,0,1,0,0
101,101,2.167507,41.39244,7,5,3,1,1,1,0,1,0,0,0,0,0,0,0,0
102,102,2.181706,41.428661,7,5,3,1,1,1,0,0,0,0,0,1,0,0,0,0
103,103,2.147749,41.401884,7,5,3,1,1,1,0,0,0,0,0,0,0,0,0,1
104,104,2.138895,41.389044,8,5,3,1,1,1,0,0,0,0,1,0,0,0,0,0
105,105,2.146705,41.396584000000004,8,5,3,1,1,1,0,0,0,0,0,0,0,0,0,1
106,106,2.1686360000000002,41.39157,8,5,3,1,1,1,0,1,0,0,0,0,0,0,0,0
107,107,2.1398919999999997,41.358509999999995,9,5,3,1,1,1,0,0,0,0,0,0,0,0,1,0
108,108,2.14393,41.399321,9,5,3,1,1,1,0,0,0,0,0,0,0,0,0,1
109,109,2.1388,41.391703,9,5,3,1,1,1,0,0,0,0,0,0,0,0,0,1
110,110,2.169498,41.410138,10,5,3,1,1,1,0,0,0,1,0,0,0,0,0,0
111,111,2.161465,41.397016,10,5,3,1,1,1,0,1,0,0,0,0,0,0,0,0
112,112,2.144741,41.392216999999995,11,5,3,1,1,1,0,0,0,0,0,0,0,0,0,1
113,113,2.1675020000000003,41.400966,12,5,3,1,1,1,0,1,0,0,0,0,0,0,0,0
114,114,2.1935599999999997,41.44928400000001,12,5,3,1,1,1,0,0,0,0,0,0,1,0,0,0
115,115,2.15883,41.404508,13,5,3,1,1,1,0,0,1,0,0,0,0,0,0,0
116,116,2.1333130000000002,41.400403000000004,14,5,3,1,1,1,0,0,0,0,0,0,0,0,0,1
117,117,2.144012,41.428075,14,5,3,1,1,1,0,0,0,1,0,0,0,0,0,0
118,118,2.1981439999999997,41.417153000000006,15,5,3,1,1,1,0,0,0,0,0,0,0,1,0,0
119,119,2.164884,41.39216500000001,15,5,3,1,1,1,0,1,0,0,0,0,0,0,0,0
120,120,2.172604,41.415492,15,5,3,1,1,1,0,0,0,1,0,0,0,0,0,0
121,121,2.177028,41.427383,16,5,3,1,1,1,0,0,0,0,0,1,0,0,0,0
122,122,2.146261,41.38205900000001,16,5,3,1,1,1,0,1,0,0,0,0,0,0,0,0
123,123,2.20173,41.427479999999996,17,5,3,1,1,1,0,0,0,0,0,0,0,1,0,0
124,124,2.187949,41.393957,18,5,3,1,1,1,0,0,0,0,0,0,0,1,0,0
125,125,2.183242,41.439612,18,5,3,1,1,1,0,0,0,0,0,1,0,0,0,0
126,126,2.208398,41.419569,19,5,3,1,1,1,0,0,0,0,0,0,0,1,0,0
127,127,2.1464630000000002,41.346533,22,5,3,1,0,1,0,0,0,0,0,0,0,0,1,0
128,128,2.161837,41.440123,22,5,3,1,0,1,0,0,0,0,0,1,0,0,0,0
129,129,2.1903669999999997,41.404181,23,5,3,1,0,1,0,0,0,0,0,0,0,1,0,0
130,130,2.1709169999999998,41.403509,23,5,3,1,0,1,0,1,0,0,0,0,0,0,0,0
131,131,2.160726,41.387335,0,6,4,1,0,1,0,1,0,0,0,0,0,0,0,0
132,132,2.131757,41.392313,6,6,4,1,1,1,0,0,0,0,1,0,0,0,0,0
133,133,2.148113,41.374967,10,6,4,1,1,1,0,0,0,0,0,0,0,0,1,0
134,134,2.1675020000000003,41.400966,12,6,4,1,1,1,0,0,1,0,0,0,0,0,0,0
135,135,2.1682740000000003,41.389418,12,6,4,1,1,1,0,1,0,0,0,0,0,0,0,0
